编号,一级标题,二级标题,三级标题,四级标题,链接标题,HTTP方法,URI,HTTP代码,载荷,附件
88,专业管理,专业名称列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=specialyName&act=List&totalnum=867&pagenum=9,200,NULL,NULL
89,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=1,200,NULL,NULL
90,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=2,200,NULL,NULL
91,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=3,200,NULL,NULL
92,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=4,200,NULL,NULL
93,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=5,200,NULL,NULL
94,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=6,200,NULL,NULL
95,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=7,200,NULL,NULL
96,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=8,200,NULL,NULL
97,专业管理,学校专业列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=speciality&act=List&totalnum=15038&pagenum=9,200,NULL,NULL
98,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=1,200,NULL,NULL
99,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=2,200,NULL,NULL
100,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=3,200,NULL,NULL
101,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=4,200,NULL,NULL
102,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=5,200,NULL,NULL
103,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=6,200,NULL,NULL
104,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=7,200,NULL,NULL
105,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=8,200,NULL,NULL
106,圈子管理,圈子列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=club&act=List&totalnum=296&pagenum=9,200,NULL,NULL
107,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=1,200,NULL,NULL
108,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=2,200,NULL,NULL
109,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=3,200,NULL,NULL
110,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=4,200,NULL,NULL
111,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=5,200,NULL,NULL
112,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=6,200,NULL,NULL
113,话题管理,话题列表,NULL,NULL,NULL,GET,/admin2m0GHi12MA12ge/module/index.php?module=article&act=List&totalnum=26032&pagenum=7,200,NULL,NULL
